"filename", "language", "JavaScript", "HTTP", "JSON", "Markdown", "HTML", "PHP", "CSS", "comment", "blank", "total"
"c:\Users\sgsrb\Desktop\plei TFG\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 8, 22
"c:\Users\sgsrb\Desktop\plei TFG\config\sequelize-auto.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 8, 3, 30
"c:\Users\sgsrb\Desktop\plei TFG\config\sequelize.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 3, 3, 24
"c:\Users\sgsrb\Desktop\plei TFG\controllers\asistenciaController.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 5, 7, 69
"c:\Users\sgsrb\Desktop\plei TFG\controllers\eventoController.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 16, 16, 110
"c:\Users\sgsrb\Desktop\plei TFG\controllers\localizacionController.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 6, 8, 92
"c:\Users\sgsrb\Desktop\plei TFG\controllers\organizadorFavoritoController.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 5, 7, 69
"c:\Users\sgsrb\Desktop\plei TFG\controllers\reporteController.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 6, 8, 91
"c:\Users\sgsrb\Desktop\plei TFG\controllers\usuarioController.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 7, 8, 105
"c:\Users\sgsrb\Desktop\plei TFG\index.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 10, 9, 44
"c:\Users\sgsrb\Desktop\plei TFG\models\asistencia.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\sgsrb\Desktop\plei TFG\models\evento.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 1, 68
"c:\Users\sgsrb\Desktop\plei TFG\models\init-models.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\sgsrb\Desktop\plei TFG\models\localizacion.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\sgsrb\Desktop\plei TFG\models\organizadorFavorito.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\sgsrb\Desktop\plei TFG\models\reporte.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\sgsrb\Desktop\plei TFG\models\usuario.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 1, 66
"c:\Users\sgsrb\Desktop\plei TFG\package-lock.json", "JSON", 0, 0, 1589, 0, 0, 0, 0, 0, 1, 1590
"c:\Users\sgsrb\Desktop\plei TFG\package.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\Users\sgsrb\Desktop\plei TFG\public\.VSCodeCounter\2024-05-23_13-14-50\details.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 0, 6, 28
"c:\Users\sgsrb\Desktop\plei TFG\public\.VSCodeCounter\2024-05-23_13-14-50\diff-details.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 6, 15
"c:\Users\sgsrb\Desktop\plei TFG\public\.VSCodeCounter\2024-05-23_13-14-50\diff.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 7, 19
"c:\Users\sgsrb\Desktop\plei TFG\public\.VSCodeCounter\2024-05-23_13-14-50\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
